iPrint,time(d),z(cm),h(cm),th(cm^3/cm^3),Sw(-),C(mg/L),Aaw(cm^2/cm^3),Cs1(mg/g),Cs2(mg/g),Caw1(mg/cm^3),Caw2(mg/cm^3),Ctot(mg/cm^3)
    5, 2.5000000E+00, 2.5000000E-01,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 1.3951622E-03, 1.2908719E+02, 7.5707012E-07, 2.4199071E-08, 6.0650663E-07, 1.6356400E-09, 2.1470106E-06
    5, 2.5000000E+00, 7.5000000E-01,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 1.6971415E-03, 1.2908719E+02, 8.9777463E-07, 2.4215697E-08, 7.3777986E-07, 1.5986099E-09, 2.5651525E-06
    5, 2.5000000E+00, 1.2500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 2.0194457E-03, 1.2908719E+02, 1.0443946E-06, 2.4010544E-08, 8.7788711E-07, 1.5578761E-09, 3.0052888E-06
    5, 2.5000000E+00, 1.7500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 2.3583868E-03, 1.2908719E+02, 1.1953297E-06, 2.3639730E-08, 1.0252249E-06, 1.5135946E-09, 3.4625960E-06
    5, 2.5000000E+00, 2.2500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 2.7096675E-03, 1.2908719E+02, 1.3488062E-06, 2.3139753E-08, 1.1779251E-06, 1.4659535E-09, 3.9315551E-06
    5, 2.5000000E+00, 2.7500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 3.0684994E-03, 1.2908719E+02, 1.5029284E-06, 2.2536627E-08, 1.3339059E-06, 1.4151939E-09, 4.4061236E-06
    5, 2.5000000E+00, 3.2500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 3.4297507E-03, 1.2908719E+02, 1.6557358E-06, 2.1849887E-08, 1.4909366E-06, 1.3616215E-09, 4.8799283E-06
    5, 2.5000000E+00, 3.7500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 3.7881198E-03, 1.2908719E+02, 1.8052662E-06, 2.1095105E-08, 1.6467126E-06, 1.3056126E-09, 5.3464802E-06
    5, 2.5000000E+00, 4.2500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 4.1383261E-03, 1.2908719E+02, 1.9496206E-06, 2.0285679E-08, 1.7989388E-06, 1.2476197E-09, 5.7994036E-06
    5, 2.5000000E+00, 4.7500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 4.4753085E-03, 1.2908719E+02, 2.0870296E-06, 1.9434125E-08, 1.9454151E-06, 1.1881767E-09, 6.2326692E-06
    5, 2.5000000E+00, 5.2500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 4.7944173E-03, 1.2908719E+02, 2.2159135E-06, 1.8552977E-08, 2.0841209E-06, 1.1279057E-09, 6.6408148E-06
    5, 2.5000000E+00, 5.7500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 5.0915846E-03, 1.2908719E+02, 2.3349345E-06, 1.7655445E-08, 2.2132882E-06, 1.0675272E-09, 7.0191375E-06
    5, 2.5000000E+00, 6.2500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 5.3634528E-03, 1.2908719E+02, 2.4430328E-06, 1.6755936E-08, 2.3314578E-06, 1.0078737E-09, 7.3638338E-06
    5, 2.5000000E+00, 6.7500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 5.6074401E-03, 1.2908719E+02, 2.5394394E-06, 1.5870580E-08, 2.4375079E-06, 9.4990947E-10, 7.6720622E-06
    5, 2.5000000E+00, 7.2500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 5.8217163E-03, 1.2908719E+02, 2.6236568E-06, 1.5017853E-08, 2.5306433E-06, 8.9475674E-10, 7.9418981E-06
    5, 2.5000000E+00, 7.7500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 6.0050604E-03, 1.2908719E+02, 2.6953970E-06, 1.4219391E-08, 2.6103335E-06, 8.4373080E-10, 8.1721448E-06
    5, 2.5000000E+00, 8.2500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 6.1565684E-03, 1.2908719E+02, 2.7544653E-06, 1.3501096E-08, 2.6761859E-06, 7.9838547E-10, 8.3619629E-06
    5, 2.5000000E+00, 8.7500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 6.2751776E-03, 1.2908719E+02, 2.8005753E-06, 1.2894585E-08, 2.7277386E-06, 7.6057069E-10, 8.5102743E-06
    5, 2.5000000E+00, 9.2500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 6.3589724E-03, 1.2908719E+02, 2.8330827E-06, 1.2438954E-08, 2.7641594E-06, 7.3250378E-10, 8.6148961E-06
    5, 2.5000000E+00, 9.7500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 6.4042392E-03, 1.2908719E+02, 2.8506204E-06, 1.2182418E-08, 2.7838343E-06, 7.1685613E-10, 8.6713588E-06
