iPrint,time(d),z(cm),h(cm),th(cm^3/cm^3),Sw(-),C(mg/L),Aaw(cm^2/cm^3),Cs1(mg/g),Cs2(mg/g),Caw1(mg/cm^3),Caw2(mg/cm^3),Ctot(mg/cm^3)
    1, 5.0000000E-01, 2.5000000E-01,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 1.3089428E-02, 1.2908719E+02, 5.3092553E-06, 1.4069721E-08, 5.6891813E-06, 1.0488942E-09, 1.6863252E-05
    1, 5.0000000E-01, 7.5000000E-01,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 1.5111905E-02, 1.2908719E+02, 6.0161732E-06, 1.2377575E-08, 6.5680154E-06, 8.9738266E-10, 1.9277467E-05
    1, 5.0000000E-01, 1.2500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 1.6327198E-02, 1.2908719E+02, 6.4349588E-06, 1.0619624E-08, 7.0960738E-06, 7.5141081E-10, 2.0717108E-05
    1, 5.0000000E-01, 1.7500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 1.6650864E-02, 1.2908719E+02, 6.5457984E-06, 8.9057959E-09, 7.2367068E-06, 6.1570484E-10, 2.1097267E-05
    1, 5.0000000E-01, 2.2500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 1.6131977E-02, 1.2908719E+02, 6.3679674E-06, 7.3106350E-09, 7.0112495E-06, 4.9373028E-10, 2.0480183E-05
    1, 5.0000000E-01, 2.7500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 1.4924066E-02, 1.2908719E+02, 5.9510616E-06, 5.8809218E-09, 6.4863955E-06, 3.8754371E-10, 1.9042783E-05
    1, 5.0000000E-01, 3.2500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 1.3239352E-02, 1.2908719E+02, 5.3621217E-06, 4.6403542E-09, 5.7543300E-06, 2.9785222E-10, 1.7027093E-05
    1, 5.0000000E-01, 3.7500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 1.1302139E-02, 1.2908719E+02, 4.6726407E-06, 3.5943260E-09, 4.9124963E-06, 2.2422818E-10, 1.4689931E-05
    1, 5.0000000E-01, 4.2500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 9.3124475E-03, 1.2908719E+02, 3.9481910E-06, 2.7348599E-09, 4.0478027E-06, 1.6540809E-10, 1.2263262E-05
    1, 5.0000000E-01, 4.7500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 7.4245625E-03, 1.2908719E+02, 3.2418751E-06, 2.0452409E-09, 3.2273017E-06, 1.1960888E-10, 9.9301158E-06
    1, 5.0000000E-01, 5.2500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 5.7399161E-03, 1.2908719E+02, 2.5915551E-06, 1.5039702E-09, 2.4950889E-06, 8.4812131E-11, 7.8156191E-06
    1, 5.0000000E-01, 5.7500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 4.3106812E-03, 1.2908719E+02, 2.0200753E-06, 1.0878522E-09, 1.8738567E-06, 5.8988425E-11, 5.9896042E-06
    1, 5.0000000E-01, 6.2500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 3.1495635E-03, 1.2908719E+02, 1.5374126E-06, 7.7419577E-10, 1.3691435E-06, 4.0252719E-11, 4.4762415E-06
    1, 5.0000000E-01, 6.7500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 2.2418056E-03, 1.2908719E+02, 1.1437546E-06, 5.4222438E-10, 9.7454722E-07, 2.6955277E-11, 3.2665664E-06
    1, 5.0000000E-01, 7.2500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 1.5566091E-03, 1.2908719E+02, 8.3273889E-07, 3.7384660E-10, 6.7668928E-07, 1.7720397E-11, 2.3309078E-06
    1, 5.0000000E-01, 7.7500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 1.0564659E-03, 1.2908719E+02, 5.9438371E-07, 2.5396079E-10, 4.5927067E-07, 1.1447937E-11, 1.6295023E-06
    1, 5.0000000E-01, 8.2500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 7.0394649E-04, 1.2908719E+02, 4.1751503E-07, 1.7046765E-10, 3.0602389E-07, 7.2923709E-12, 1.1206988E-06
    1, 5.0000000E-01, 8.7500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 4.6623140E-04, 1.2908719E+02, 2.9173998E-07, 1.1416383E-10, 2.0268372E-07, 4.6322894E-12, 7.6700878E-07
    1, 5.0000000E-01, 9.2500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 3.1813880E-04, 1.2908719E+02, 2.0921321E-07, 7.8703409E-11, 1.3830409E-07, 3.0416765E-12, 5.3987859E-07
    1, 5.0000000E-01, 9.7500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 2.4471540E-04, 1.2908719E+02, 1.6651293E-07, 6.0820441E-11, 1.0638495E-07, 2.2741751E-12, 4.2436566E-07
