t (d),Precipitation (cm/d),Irrigation (cm/d),ET0 (cm/d),top_BC (cm),bot_BC (cm),Contaminated_water_flux (cm/d),PFAS_mass_flux (mg/d/cm^2)
1,0,0,0.049707451,-999999.99,-999999.99,0,0
2,0,0,0.066143883,-999999.99,-999999.99,0,0
3,0,0,0.072689527,-999999.99,-999999.99,0,0
4,0,0,0.126073952,-999999.99,-999999.99,0,0
5,0,0,0.052537259,-999999.99,-999999.99,0,0
6,0,0,0.053445042,-999999.99,-999999.99,0,0
7,0,0,0.05112151,-999999.99,-999999.99,0,0
8,0,0,0.048340152,-999999.99,-999999.99,0,0
9,0,0,0.035101563,-999999.99,-999999.99,0,0
10,0,0,0.038451024,-999999.99,-999999.99,0,0
11,0,0,0.034775082,-999999.99,-999999.99,0,0
12,0,0,0.048151046,-999999.99,-999999.99,0,0
13,0,0,0.029991037,-999999.99,-999999.99,0,0
14,0,0,0.025386355,-999999.99,-999999.99,0,0
15,0,0,0.029966948,-999999.99,-999999.99,0,0
16,0,0,0.026734897,-999999.99,-999999.99,0,0
17,0,0,0.025959829,-999999.99,-999999.99,0,0
18,0,0,0.024974262,-999999.99,-999999.99,0,0
19,0,0,0.021797481,-999999.99,-999999.99,0,0
20,0,0,0.016072945,-999999.99,-999999.99,0,0
21,0.292,0,0.041070568,-999999.99,-999999.99,0,0
22,0,0,0.082922185,-999999.99,-999999.99,0,0
23,0,0,0.046186899,-999999.99,-999999.99,0,0
24,0,0,0.043005273,-999999.99,-999999.99,0,0
25,0,0,0.035626109,-999999.99,-999999.99,0,0
26,0.761,0,0.046981506,-999999.99,-999999.99,0,0
27,0.051,0,0.097923682,-999999.99,-999999.99,0,0
28,0,0,0.08129327,-999999.99,-999999.99,0,0
29,0,0,0.064795114,-999999.99,-999999.99,0,0
30,0,0,0.03808575,-999999.99,-999999.99,0,0
31,0,0,0.037783977,-999999.99,-999999.99,0,0
32,0,0,0.030662183,-999999.99,-999999.99,0,0
33,0,0,0.029746687,-999999.99,-999999.99,0,0
34,0,0,0.025641786,-999999.99,-999999.99,0,0
35,0.343,0,0.03636864,-999999.99,-999999.99,0,0
36,0.241,0,0.066314013,-999999.99,-999999.99,0,0
37,0.114,0,0.09935412,-999999.99,-999999.99,0,0
38,0,0,0.092713056,-999999.99,-999999.99,0,0
39,0,0,0.055049622,-999999.99,-999999.99,0,0
40,0,0,0.051878013,-999999.99,-999999.99,0,0
41,0.229,0,0.077562901,-999999.99,-999999.99,0,0
42,0.711,0,0.070257134,-999999.99,-999999.99,0,0
43,0.774,0,0.111193716,-999999.99,-999999.99,0,0
44,0,0,0.099668579,-999999.99,-999999.99,0,0
45,0,0,0.072551195,-999999.99,-999999.99,0,0
46,0,0,0.057900019,-999999.99,-999999.99,0,0
47,0,0,0.044797636,-999999.99,-999999.99,0,0
48,0.025,0,0.070391257,-999999.99,-999999.99,0,0
49,0,0,0.060889497,-999999.99,-999999.99,0,0
50,0.279,0,0.091579783,-999999.99,-999999.99,0,0
51,0,0,0.096560058,-999999.99,-999999.99,0,0
52,0,0,0.07107469,-999999.99,-999999.99,0,0
53,0.051,0,0.111913471,-999999.99,-999999.99,0,0
54,0,0,0.060541969,-999999.99,-999999.99,0,0
55,0,0,0.041666227,-999999.99,-999999.99,0,0
56,0,0,0.036943804,-999999.99,-999999.99,0,0
57,0.025,0,0.04249868,-999999.99,-999999.99,0,0
58,0,0,0.075798495,-999999.99,-999999.99,0,0
59,0,0,0.057387547,-999999.99,-999999.99,0,0
60,0,0,0.04401983,-999999.99,-999999.99,0,0
61,0,0,0.038611508,-999999.99,-999999.99,0,0
62,0,0,0.041653987,-999999.99,-999999.99,0,0
63,0,0,0.036825508,-999999.99,-999999.99,0,0
64,0.114,0,0.026728093,-999999.99,-999999.99,0,0
65,0.025,0,0.089169476,-999999.99,-999999.99,0,0
66,0,0,0.065753929,-999999.99,-999999.99,0,0
67,0,0,0.0407988,-999999.99,-999999.99,0,0
68,0,0,0.058164654,-999999.99,-999999.99,0,0
69,0,0,0.049735974,-999999.99,-999999.99,0,0
70,0,0,0.04841182,-999999.99,-999999.99,0,0
71,0,0,0.050062231,-999999.99,-999999.99,0,0
72,0,0,0.057349261,-999999.99,-999999.99,0,0
73,0,0,0.047247097,-999999.99,-999999.99,0,0
74,0,0,0.047078305,-999999.99,-999999.99,0,0
75,0,0,0.036471872,-999999.99,-999999.99,0,0
76,0,0,0.04720415,-999999.99,-999999.99,0,0
77,0,0,0.035984719,-999999.99,-999999.99,0,0
78,0,0,0.043179727,-999999.99,-999999.99,0,0
79,0,0,0.046480517,-999999.99,-999999.99,0,0
80,0,0,0.049162815,-999999.99,-999999.99,0,0
81,0,0,0.043521286,-999999.99,-999999.99,0,0
82,0,0,0.039197447,-999999.99,-999999.99,0,0
83,0,0,0.040074166,-999999.99,-999999.99,0,0
84,0,0,0.039122761,-999999.99,-999999.99,0,0
85,0,0,0.045132099,-999999.99,-999999.99,0,0
86,0,0,0.049725086,-999999.99,-999999.99,0,0
87,0,0,0.049998437,-999999.99,-999999.99,0,0
88,0,0,0.049135749,-999999.99,-999999.99,0,0
89,0,0,0.043603116,-999999.99,-999999.99,0,0
90,0,0,0.050437866,-999999.99,-999999.99,0,0
