z (cm),Ksat (cm/d),ths (cm^3/cm^3),thr (cm^3/cm^3),alpha (1/cm),n (-),rhob (g/cm^3),alphaL (cm),Kf,Nf (-),h0 (cm),theta0(cm^3/cm^3),C0 (mg/L),Cs20 (mg/g),Caw20 (mg/cm^3),Ctot(mg/cm^3)
5,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-100,-1,9.57E-04,7.07E-06,2.87E-08,-1.00E+00
15,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-100,-1,2.50E-03,1.52E-05,7.39E-08,-1.00E+00
25,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-100,-1,5.04E-03,2.67E-05,1.48E-07,-1.00E+00
35,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-100,-1,8.86E-03,4.19E-05,2.64E-07,-1.00E+00
45,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-100,-1,1.42E-02,6.10E-05,4.25E-07,-1.00E+00
55,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-100,-1,2.12E-02,8.41E-05,6.36E-07,-1.00E+00
65,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-100,-1,3.00E-02,1.11E-04,8.95E-07,-1.00E+00
75,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-100,-1,4.07E-02,1.42E-04,1.21E-06,-1.00E+00
85,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-100,-1,5.33E-02,1.76E-04,1.57E-06,-1.00E+00
95,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-100,-1,6.78E-02,2.13E-04,1.99E-06,-1.00E+00
105,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-100,-1,8.40E-02,2.53E-04,2.46E-06,-1.00E+00
115,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-100,-1,1.02E-01,2.96E-04,2.97E-06,-1.00E+00
125,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-100,-1,1.21E-01,3.40E-04,3.51E-06,-1.00E+00
135,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-100,-1,1.42E-01,3.85E-04,4.09E-06,-1.00E+00
145,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-100,-1,1.63E-01,4.31E-04,4.69E-06,-1.00E+00
155,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-100,-1,1.85E-01,4.77E-04,5.30E-06,-1.00E+00
165,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-100,-1,2.07E-01,5.21E-04,5.90E-06,-1.00E+00
175,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-100,-1,2.28E-01,5.64E-04,6.49E-06,-1.00E+00
185,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-100,-1,2.48E-01,6.03E-04,7.03E-06,-1.00E+00
195,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-100,-1,2.66E-01,6.37E-04,7.52E-06,-1.00E+00
205,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-100,-1,2.81E-01,6.66E-04,7.92E-06,-1.00E+00
215,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-100,-1,2.93E-01,6.88E-04,8.23E-06,-1.00E+00
225,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-100,-1,3.00E-01,7.02E-04,8.41E-06,-1.00E+00
235,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-100,-1,3.02E-01,7.05E-04,8.44E-06,-1.00E+00
245,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-100,-1,2.98E-01,6.98E-04,8.31E-06,-1.00E+00
255,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-100,-1,2.88E-01,6.79E-04,8.01E-06,-1.00E+00
265,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-100,-1,2.72E-01,6.48E-04,7.53E-06,-1.00E+00
275,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-100,-1,2.49E-01,6.04E-04,6.89E-06,-1.00E+00
285,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-100,-1,2.21E-01,5.49E-04,6.09E-06,-1.00E+00
295,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-100,-1,1.88E-01,4.83E-04,5.18E-06,-1.00E+00
305,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-100,-1,1.53E-01,4.10E-04,4.21E-06,-1.00E+00
315,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-100,-1,1.18E-01,3.33E-04,3.24E-06,-1.00E+00
325,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-100,-1,8.55E-02,2.57E-04,2.34E-06,-1.00E+00
335,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-100,-1,5.71E-02,1.86E-04,1.56E-06,-1.00E+00
345,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-100,-1,3.47E-02,1.25E-04,9.44E-07,-1.00E+00
355,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-100,-1,1.88E-02,7.63E-05,5.10E-07,-1.00E+00
365,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-100,-1,8.89E-03,4.19E-05,2.41E-07,-1.00E+00
375,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-100,-1,3.61E-03,2.04E-05,9.78E-08,-1.00E+00
385,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-100,-1,1.25E-03,8.72E-06,3.37E-08,-1.00E+00
395,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-100,-1,3.87E-04,3.42E-06,1.04E-08,-1.00E+00
