iPrint,time(d),z(cm),h(cm),th(cm^3/cm^3),Sw(-),C(mg/L),Aaw(cm^2/cm^3),Cs1(mg/g),Cs2(mg/g),Caw1(mg/cm^3),Caw2(mg/cm^3),Ctot(mg/cm^3)
    2, 1.4600000E+03, 5.0000000E+00,-1.4035639E+02, 8.2909279E-02, 2.3094507E-01, 1.3923555E-03, 2.5801477E+02, 7.5574491E-07, 1.7921557E-06, 1.2098246E-06, 1.5128283E-07, 5.6219808E-06
    2, 1.4600000E+03, 1.5000000E+01,-1.3128399E+02, 8.5717234E-02, 2.3876667E-01, 3.7390224E-03, 2.5281202E+02, 1.7848928E-06, 4.0801569E-06, 3.1832233E-06, 3.9086285E-07, 1.3437021E-05
    2, 1.4600000E+03, 2.5000000E+01,-1.2630581E+02, 8.7603760E-02, 2.4402162E-01, 7.7329869E-03, 2.4936906E+02, 3.3587274E-06, 7.4407673E-06, 6.4934159E-06, 7.8148334E-07, 2.5523116E-05
    2, 1.4600000E+03, 3.5000000E+01,-1.2412366E+02, 8.8523580E-02, 2.4658379E-01, 1.3843210E-02, 2.4784783E+02, 5.5742781E-06, 1.2042155E-05, 1.1552144E-05, 1.3652071E-06, 4.2804737E-05
    2, 1.4600000E+03, 4.5000000E+01,-1.2400479E+02, 8.8574093E-02, 2.4672449E-01, 2.2472675E-02, 2.4776429E+02, 8.4967389E-06, 1.7993244E-05, 1.8744499E-05, 2.1751084E-06, 6.6009306E-05
    2, 1.4600000E+03, 5.5000000E+01,-1.2573171E+02, 8.7835925E-02, 2.4466831E-01, 3.3943224E-02, 2.4898510E+02, 1.2163759E-05, 2.5375976E-05, 2.8446354E-05, 3.2411046E-06, 9.5746042E-05
    2, 1.4600000E+03, 6.5000000E+01,-1.2882462E+02, 8.6607855E-02, 2.4124751E-01, 4.8483946E-02, 2.5116183E+02, 1.6587573E-05, 3.4216070E-05, 4.0977944E-05, 4.5851667E-06, 1.3241973E-04
    2, 1.4600000E+03, 7.5000000E+01,-1.3187009E+02, 8.5504100E-02, 2.3817298E-01, 6.6382255E-02, 2.5320693E+02, 2.1802077E-05, 4.4565123E-05, 5.6545901E-05, 6.2275772E-06, 1.7642887E-04
    2, 1.4600000E+03, 8.5000000E+01,-1.3330760E+02, 8.5014691E-02, 2.3680972E-01, 8.7937359E-02, 2.5411374E+02, 2.7844761E-05, 5.6295549E-05, 7.5149235E-05, 8.1687782E-06, 2.2769026E-04
    2, 1.4600000E+03, 9.5000000E+01,-1.3305049E+02, 8.5096750E-02, 2.3703830E-01, 1.1335892E-01, 2.5396169E+02, 3.4728744E-05, 6.9357648E-05, 9.6776396E-05, 1.0409969E-05, 2.8618140E-04
