iPrint,time(d),z(cm),h(cm),th(cm^3/cm^3),Sw(-),C(mg/L),Aaw(cm^2/cm^3),Cs1(mg/g),Cs2(mg/g),Caw1(mg/cm^3),Caw2(mg/cm^3),Ctot(mg/cm^3)
    9, 4.5000000E+00, 2.5000000E-01,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 3.9740859E-04, 1.2908719E+02, 2.5389201E-07, 2.6086489E-08, 1.7276473E-07, 1.7097694E-09, 7.0626557E-07
    9, 4.5000000E+00, 7.5000000E-01,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 4.8596367E-04, 1.2908719E+02, 3.0245302E-07, 2.6547518E-08, 2.1126182E-07, 1.6970065E-09, 8.4150323E-07
    9, 4.5000000E+00, 1.2500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 5.8384509E-04, 1.2908719E+02, 3.5480649E-07, 2.6817329E-08, 2.5381317E-07, 1.6826961E-09, 9.8844262E-07
    9, 4.5000000E+00, 1.7500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 6.9107606E-04, 1.2908719E+02, 4.1086591E-07, 2.6948820E-08, 3.0042884E-07, 1.6668660E-09, 1.1470436E-06
    9, 4.5000000E+00, 2.2500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 8.0753731E-04, 1.2908719E+02, 4.7048316E-07, 2.6974917E-08, 3.5105694E-07, 1.6495328E-09, 1.3170440E-06
    9, 4.5000000E+00, 2.7500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 9.3294661E-04, 1.2908719E+02, 5.3344301E-07, 2.6917641E-08, 4.0557472E-07, 1.6307229E-09, 1.4979525E-06
    9, 4.5000000E+00, 3.2500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 1.0668363E-03, 1.2908719E+02, 5.9945650E-07, 2.6792116E-08, 4.6377882E-07, 1.6104857E-09, 1.6890307E-06
    9, 4.5000000E+00, 3.7500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 1.2085279E-03, 1.2908719E+02, 6.6815301E-07, 2.6609098E-08, 5.2537431E-07, 1.5889020E-09, 1.8892679E-06
    9, 4.5000000E+00, 4.2500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 1.3571039E-03, 1.2908719E+02, 7.3907073E-07, 2.6376791E-08, 5.8996222E-07, 1.5660922E-09, 2.0973511E-06
    9, 4.5000000E+00, 4.7500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 1.5113738E-03, 1.2908719E+02, 8.1164507E-07, 2.6102159E-08, 6.5702504E-07, 1.5422237E-09, 2.3116274E-06
    9, 4.5000000E+00, 5.2500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 1.6698353E-03, 1.2908719E+02, 8.8519446E-07, 2.5791833E-08, 7.2590965E-07, 1.5175190E-09, 2.5300573E-06
    9, 4.5000000E+00, 5.7500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 1.8306273E-03, 1.2908719E+02, 9.5890276E-07, 2.5452744E-08, 7.9580699E-07, 1.4922658E-09, 2.7501585E-06
    9, 4.5000000E+00, 6.2500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 1.9914738E-03, 1.2908719E+02, 1.0317976E-06, 2.5092580E-08, 8.6572762E-07, 1.4668269E-09, 2.9689354E-06
    9, 4.5000000E+00, 6.7500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 2.1496162E-03, 1.2908719E+02, 1.1027235E-06, 2.4720181E-08, 9.3447245E-07, 1.4416523E-09, 3.1827944E-06
    9, 4.5000000E+00, 7.2500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 2.3017329E-03, 1.2908719E+02, 1.1703086E-06, 2.4345954E-08, 1.0005975E-06, 1.4172936E-09, 3.3874398E-06
    9, 4.5000000E+00, 7.7500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 2.4438420E-03, 1.2908719E+02, 1.2329238E-06, 2.3982373E-08, 1.0623720E-06, 1.3944189E-09, 3.5777467E-06
    9, 4.5000000E+00, 8.2500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 2.5711866E-03, 1.2908719E+02, 1.2886318E-06, 2.3644640E-08, 1.1177282E-06, 1.3738304E-09, 3.7476082E-06
    9, 4.5000000E+00, 8.7500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 2.6780995E-03, 1.2908719E+02, 1.3351248E-06, 2.3351529E-08, 1.1642027E-06, 1.3564845E-09, 3.8897500E-06
    9, 4.5000000E+00, 9.2500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 2.7578456E-03, 1.2908719E+02, 1.3696464E-06, 2.3126346E-08, 1.1988677E-06, 1.3435130E-09, 3.9955064E-06
    9, 4.5000000E+00, 9.7500000E+00,-6.0622189E+01, 1.9190843E-01, 5.3456387E-01, 2.8024395E-03, 1.2908719E+02, 1.3888942E-06, 2.2997547E-08, 1.2182523E-06, 1.3362481E-09, 4.0545482E-06
