z (cm),Ksat (cm/d),ths (cm^3/cm^3),thr (cm^3/cm^3),alpha (1/cm),n (-),rhob (g/cm^3),alphaL (cm),Kf (mg/g)/(mg/cm^3)^Nf,Nf (-),h0 (cm),theta0(cm^3/cm^3),C0 (mg/L),Cs20 (mg/g),Caw20 (mg/cm^3),Ctot0(mg/cm^3)
0.25,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-300,-1,0.00E+00,0.00E+00,0.00E+00,-1.00E+00
0.75,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-300,-1,0.00E+00,0.00E+00,0.00E+00,-1.00E+00
1.25,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-300,-1,0.00E+00,0.00E+00,0.00E+00,-1.00E+00
1.75,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-300,-1,0.00E+00,0.00E+00,0.00E+00,-1.00E+00
2.25,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-300,-1,0.00E+00,0.00E+00,0.00E+00,-1.00E+00
2.75,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-300,-1,0.00E+00,0.00E+00,0.00E+00,-1.00E+00
3.25,1800,0.294,0.03,0.046,4.5,1.65,2,0.04074185,0.87,-300,-1,0.00E+00,0.00E+00,0.00E+00,-1.00E+00
3.75,1800,0.294,0.03,0.046,4.5,1.65,2,0.04074185,0.87,-300,-1,0.00E+00,0.00E+00,0.00E+00,-1.00E+00
4.25,1800,0.294,0.03,0.046,4.5,1.65,2,0.04074185,0.87,-300,-1,0.00E+00,0.00E+00,0.00E+00,-1.00E+00
4.75,1800,0.294,0.03,0.046,4.5,1.65,2,0.04074185,0.87,-300,-1,0.00E+00,0.00E+00,0.00E+00,-1.00E+00
5.25,1800,0.294,0.03,0.046,4.5,1.65,2,0.04074185,0.87,-300,-1,0.00E+00,0.00E+00,0.00E+00,-1.00E+00
5.75,1800,0.294,0.03,0.046,4.5,1.65,2,0.04074185,0.87,-300,-1,0.00E+00,0.00E+00,0.00E+00,-1.00E+00
6.25,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-300,-1,0.00E+00,0.00E+00,0.00E+00,-1.00E+00
6.75,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-300,-1,0.00E+00,0.00E+00,0.00E+00,-1.00E+00
7.25,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-300,-1,0.00E+00,0.00E+00,0.00E+00,-1.00E+00
7.75,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-300,-1,0.00E+00,0.00E+00,0.00E+00,-1.00E+00
8.25,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-300,-1,0.00E+00,0.00E+00,0.00E+00,-1.00E+00
8.75,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-300,-1,0.00E+00,0.00E+00,0.00E+00,-1.00E+00
9.25,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-300,-1,0.00E+00,0.00E+00,0.00E+00,-1.00E+00
9.75,100,0.359,0.07,0.02,4,1.627,2,0.2351,0.87,-300,-1,0.00E+00,0.00E+00,0.00E+00,-1.00E+00
