time(d),htop(cm),hbot(cm),ctop(mg/L),cbot(mg/L), water_input(cm),ET(cm),water_drainage(cm),water_tot(cm),water_MB_error(%),pfas_in(mg),pfas_decay(mg),pfas_discharge(mg),pfas_tot(mg),pfas_MB_error(%)
 1.0000000E-08,-2.9999850E+02,-3.0000000E+02, 3.4642290E-09, 4.1407000E-28, 1.0000000E-08, 2.0998493E-18, 2.2749603E-14, 5.8944146E-01, 3.7670341E-14, 1.0000000E-11, 0.0000000E+00, 9.4199280E-45, 1.0000000E-11, 1.2143074E-10
 2.0000000E-08,-2.9999701E+02,-3.0000000E+02, 7.5182726E-09, 4.1407000E-28, 2.0000000E-08,-1.9962333E-18, 4.5499206E-14, 5.8944147E-01, 1.8835170E-14, 2.0000000E-11, 0.0000000E+00, 1.8839856E-44, 2.0000000E-11, 3.7803010E-09
 3.5000000E-08,-2.9999476E+02,-3.0000000E+02, 1.4035835E-08, 4.1407000E-28, 3.5000000E-08,-6.4740035E-18, 7.9623610E-14, 5.8944148E-01, 1.8835170E-14, 3.5000000E-11, 0.0000000E+00, 3.2969748E-44, 3.5000000E-11, 2.8602241E-09
 5.7500000E-08,-2.9999139E+02,-3.0000000E+02, 2.4395456E-08, 4.1407000E-28, 5.7500000E-08,-1.3796087E-17, 1.3081022E-13, 5.8944151E-01, 1.8835169E-14, 5.7500000E-11, 0.0000000E+00, 5.4164586E-44, 5.7500000E-11, 1.9981961E-09
 9.1250000E-08,-2.9998634E+02,-3.0000000E+02, 4.0761719E-08, 4.1407000E-28, 9.1250000E-08,-8.8544176E-18, 2.0759013E-13, 5.8944154E-01, 0.0000000E+00, 9.1250000E-11, 0.0000000E+00, 8.5956843E-44, 9.1250000E-11, 1.3925053E-09
 1.4187500E-07,-2.9997877E+02,-3.0000000E+02, 6.6520137E-08, 4.1407000E-28, 1.4187500E-07,-9.1833377E-18, 3.2275305E-13, 5.8944159E-01, 1.8835166E-14, 1.4187500E-10, 0.0000000E+00, 1.3364236E-43, 1.4187500E-10, 9.7974651E-10
 2.1781250E-07,-2.9996740E+02,-3.0000000E+02, 1.0695707E-07, 4.1407000E-28, 2.1781250E-07,-1.4772882E-17, 4.9550785E-13, 5.8944167E-01, 1.8835164E-14, 2.1781250E-10, 0.0000000E+00, 2.0517493E-43, 2.1781250E-10, 6.9781759E-10
 3.3171875E-07,-2.9995036E+02,-3.0000000E+02, 1.7031796E-07, 4.1407000E-28, 3.3171875E-07,-1.2661864E-17, 7.5464004E-13, 5.8944178E-01, 1.8835160E-14, 3.3171875E-10, 0.0000000E+00, 3.1247380E-43, 3.3171875E-10, 5.0377303E-10
 5.0257813E-07,-2.9992481E+02,-3.0000000E+02, 2.6945180E-07, 4.1407000E-28, 5.0257813E-07,-1.4547756E-17, 1.1433383E-12, 5.8944195E-01, 1.8835155E-14, 5.0257813E-10, 0.0000000E+00, 4.7342210E-43, 5.0257812E-10, 3.6886584E-10
 7.5886719E-07,-2.9988650E+02,-3.0000000E+02, 4.2436385E-07, 4.1407000E-28, 7.5886719E-07,-1.4500587E-17, 1.7263858E-12, 5.8944221E-01, 1.8835146E-14, 7.5886719E-10, 0.0000000E+00, 7.1484455E-43, 7.5886719E-10, 2.7414677E-10
 1.1433008E-06,-2.9982906E+02,-3.0000000E+02, 6.6617456E-07, 4.1407000E-28, 1.1433008E-06,-1.0005065E-17, 2.6009569E-12, 5.8944259E-01, 3.7670268E-14, 1.1433008E-09, 0.0000000E+00, 1.0769782E-42, 1.1433008E-09, 1.8229476E-10
 1.7199512E-06,-2.9974299E+02,-3.0000000E+02, 1.0432538E-06, 4.1407000E-28, 1.7199512E-06,-1.0345255E-17, 3.9128137E-12, 5.8944317E-01, 1.8835116E-14, 1.7199512E-09, 0.0000000E+00, 1.6201788E-42, 1.7199512E-09, 1.2115663E-10
 2.5849268E-06,-2.9961408E+02,-3.0000000E+02, 1.6307174E-06, 4.1407000E-28, 2.5849268E-06,-9.5631261E-18, 5.8805988E-12, 5.8944403E-01, 1.8835088E-14, 2.5849268E-09, 0.0000000E+00, 2.4349795E-42, 2.5849268E-09, 8.0614855E-11
 3.8823901E-06,-2.9942111E+02,-3.0000000E+02, 2.5451166E-06, 4.1407000E-28, 3.8823901E-06,-1.4262677E-17, 8.8322764E-12, 5.8944533E-01, 0.0000000E+00, 3.8823901E-09, 0.0000000E+00, 3.6571807E-42, 3.8823901E-09, 5.3674022E-11
 5.8285852E-06,-2.9913260E+02,-3.0000000E+02, 3.9671416E-06, 4.1407000E-28, 5.8285852E-06,-1.1428928E-17, 1.3259793E-11, 5.8944728E-01, 1.8834984E-14, 5.8285852E-09, 0.0000000E+00, 5.4904824E-42, 5.8285852E-09, 3.5740233E-11
